User_ID_Anon,Timestamp,Step_Order,Channel,Conversion_Flag
0012a996,2025-02-10 09:56:25,1,Direct Traffic,1
0012a996,2025-02-11 07:11:51,2,Search Ads,1
0012a996,2025-02-11 13:50:40,3,Display Ads,1
0012a996,2025-02-11 23:23:33,4,Search Ads,1
00159247,2025-02-10 06:13:04,1,Direct Traffic,0
00159247,2025-02-10 07:07:37,2,Referral,0
00159247,2025-02-11 23:40:34,3,Referral,1
00297c7d,2025-02-10 07:10:03,1,Direct Traffic,1
00297c7d,2025-02-10 10:32:53,2,Search Ads,1
00297c7d,2025-02-10 13:19:37,3,Email,1
00297c7d,2025-02-11 22:39:00,4,Display Ads,0
003e67a6,2025-02-10 01:38:29,1,Direct Traffic,1
003e67a6,2025-02-10 01:54:29,2,Social Media,1
003e67a6,2025-02-10 08:19:03,3,Search Ads,1
003e67a6,2025-02-11 08:56:03,4,Direct Traffic,1
003e67a6,2025-02-11 12:56:41,5,Display Ads,0
0069d322,2025-02-10 02:05:48,1,Search Ads,0
0069d322,2025-02-10 03:06:19,2,Direct Traffic,0
0069d322,2025-02-10 06:55:07,3,Direct Traffic,1
0069d322,2025-02-10 13:16:28,4,Referral,1
0069d322,2025-02-10 21:38:11,5,Direct Traffic,0
0069d322,2025-02-11 06:52:02,6,Display Ads,0
0069d322,2025-02-11 14:53:48,7,Direct Traffic,1
006eddd9,2025-02-10 00:53:34,1,Referral,1
006eddd9,2025-02-10 11:05:48,2,Social Media,1
00ca8875,2025-02-10 13:14:15,1,Social Media,0
00ca8875,2025-02-10 15:40:37,2,Display Ads,0
00ca8875,2025-02-10 16:10:20,3,Direct Traffic,1
00ca8875,2025-02-10 18:50:11,4,Social Media,1
00ca8875,2025-02-10 23:39:41,5,Social Media,1
00ca8875,2025-02-11 00:00:43,6,Display Ads,1
00cd3457,2025-02-10 01:45:55,1,Referral,0
00cd3457,2025-02-10 12:56:07,2,Search Ads,0
00cd3457,2025-02-11 00:05:09,3,Email,1
00cd3457,2025-02-11 12:25:50,4,Social Media,1
00cd3457,2025-02-11 21:35:57,5,Display Ads,0
0103995b,2025-02-10 17:51:41,1,Referral,1
0103995b,2025-02-11 22:37:38,2,Email,0
011070cf,2025-02-10 10:34:30,1,Social Media,1
011070cf,2025-02-11 17:40:41,2,Display Ads,1
0113d924,2025-02-10 00:08:11,1,Email,1
0113d924,2025-02-10 01:23:01,2,Referral,1
0113d924,2025-02-10 19:46:26,3,Social Media,0
0113d924,2025-02-11 01:41:56,4,Social Media,0
01409513,2025-02-11 14:00:17,1,Social Media,0
01409513,2025-02-11 19:41:52,2,Referral,1
0157ffbc,2025-02-11 23:04:37,1,Search Ads,1
0165c1dc,2025-02-10 05:33:47,1,Display Ads,0
0165c1dc,2025-02-10 11:47:20,2,Referral,0
0165c1dc,2025-02-11 01:41:24,3,Social Media,1
017d0f81,2025-02-10 08:11:44,1,Email,1
017d0f81,2025-02-10 15:46:10,2,Referral,0
017d0f81,2025-02-11 01:45:40,3,Display Ads,1
017d0f81,2025-02-11 21:20:36,4,Direct Traffic,0
01926e24,2025-02-11 00:26:40,1,Email,0
01a34967,2025-02-10 15:57:37,1,Display Ads,0
01b3a4ad,2025-02-10 04:18:20,1,Display Ads,1
01d5a8f1,2025-02-10 04:48:08,1,Social Media,0
01d5a8f1,2025-02-10 07:34:34,2,Referral,0
02064c71,2025-02-10 10:03:13,1,Direct Traffic,1
02064c71,2025-02-10 22:22:05,2,Social Media,1
02064c71,2025-02-11 07:00:01,3,Referral,1
021a6b68,2025-02-11 02:50:11,1,Referral,0
0226c6ed,2025-02-10 05:22:00,1,Email,0
0227854a,2025-02-10 02:39:12,1,Referral,0
0227854a,2025-02-10 09:28:39,2,Direct Traffic,0
0227854a,2025-02-10 19:45:55,3,Social Media,0
0227854a,2025-02-11 01:56:46,4,Social Media,0
0227854a,2025-02-11 19:48:31,5,Social Media,1
022bd28c,2025-02-11 12:34:08,1,Email,1
022bd28c,2025-02-11 19:13:56,2,Social Media,1
022bd28c,2025-02-11 21:04:44,3,Display Ads,0
02399baf,2025-02-10 18:09:32,1,Email,1
02399baf,2025-02-11 13:21:16,2,Email,1
